articulo_id;nombre;sku;categoria;coleccion;descripcion;notas_olfativas;perfil_olfativo;genero;edicion_limitada;presentacion;precio_usd;stock;imagen_url
1;Chanel N°5;CHN-N5-001;Floral;Clásicos Eternos;El perfume más icónico del mundo. Una sinfonía floral aldehídica que redefine la elegancia.;Rosa, Jazmín, Ylang-ylang, Aldehídos, Sándalo, Vetiver;floral_aldehidico;femenino;FALSO;EDP 50ml;99.0;5;https://perfumeriaonlinex.com/wp-content/uploads/2025/09/chanel-5-3145891255300.png
1;Chanel N°5;CHN-N5-001;Floral;Clásicos Eternos;El perfume más icónico del mundo. Una sinfonía floral aldehídica que redefine la elegancia.;Rosa, Jazmín, Ylang-ylang, Aldehídos, Sándalo, Vetiver;floral_aldehidico;femenino;FALSO;EDP 100ml;154.0;5;https://perfumeriaonlinex.com/wp-content/uploads/2025/09/chanel-5-3145891255300.png
2;Dior Sauvage;DIO-SAU-001;Fresco;Everyday Luxe;Fresco y crudo a la vez. Un homenaje a los espacios salvajes del Mediterráneo.;Bergamota, Pimienta de Sichuan, Lavanda, Ambroxán;fresco_especiado;masculino;FALSO;EDP 50ml;90.0;5;https://brandss.com.py/index/wp-content/uploads/2025/04/A-669.png
2;Dior Sauvage;DIO-SAU-001;Fresco;Everyday Luxe;Fresco y crudo a la vez. Un homenaje a los espacios salvajes del Mediterráneo.;Bergamota, Pimienta de Sichuan, Lavanda, Ambroxán;fresco_especiado;masculino;FALSO;EDP 100ml;140.0;5;https://brandss.com.py/index/wp-content/uploads/2025/04/A-669.png
3;Acqua di Giò;GIO-ADG-001;Acuático;Everyday Luxe;Inspirado en el mar de Pantelleria. Frescura marina que evoca libertad y verano eterno.;Lima, Romero, Bergamota, Jazmín, Cedro, Musgo;acuatico_floral;masculino;FALSO;EDP 50ml;90.0;5;https://www.perfumeriajulia.es/img/cms/campaigns/armani-summer-2024/icono-el-acqua-di-gio.png
3;Acqua di Giò;GIO-ADG-001;Acuático;Everyday Luxe;Inspirado en el mar de Pantelleria. Frescura marina que evoca libertad y verano eterno.;Lima, Romero, Bergamota, Jazmín, Cedro, Musgo;acuatico_floral;masculino;FALSO;EDP 100ml;140.0;5;https://www.perfumeriajulia.es/img/cms/campaigns/armani-summer-2024/icono-el-acqua-di-gio.png
4;Black Opium;YSL-BOP-001;Gourmand;Everyday Luxe;Adictivo y moderno. Café negro, vainilla y jazmín se entrelazan en un gourmand irresistible.;Café, Vainilla, Jazmín blanco, Cedro;gourmand_floral;femenino;FALSO;EDP 50ml;90.0;5;https://www.destinodebelleza.es/assets/images/product_images/black-opium-edp-1644225047.png
4;Black Opium;YSL-BOP-001;Gourmand;Everyday Luxe;Adictivo y moderno. Café negro, vainilla y jazmín se entrelazan en un gourmand irresistible.;Café, Vainilla, Jazmín blanco, Cedro;gourmand_floral;femenino;FALSO;EDP 100ml;140.0;5;https://www.destinodebelleza.es/assets/images/product_images/black-opium-edp-1644225047.png
5;Santal 33;LE-S33-001;Amaderado;Niche & Artesanal;Culto niche de Le Labo. Sándalo australiano, cedro y cuero para espíritus libres.;Sándalo, Cedro, Cardamomo, Iris, Cuero, Musgo;amaderado_especiado;unisex;FALSO;EDP 50ml;144.0;5;https://www.perfumenz.co.nz/cdn/shop/products/le-labo-santal-33_700x700.png?v=1657163370
5;Santal 33;LE-S33-001;Amaderado;Niche & Artesanal;Culto niche de Le Labo. Sándalo australiano, cedro y cuero para espíritus libres.;Sándalo, Cedro, Cardamomo, Iris, Cuero, Musgo;amaderado_especiado;unisex;FALSO;EDP 100ml;224.0;5;https://www.perfumenz.co.nz/cdn/shop/products/le-labo-santal-33_700x700.png?v=1657163370
